sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
108;pms5003;3520;-26.689;27.817;2021-05-13T14:58:46.531475+00:00;P2;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T14:58:46.531475+00:00;P1;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T14:58:46.531475+00:00;P0;0.00
107;DHT22;3520;-26.689;27.817;2021-05-13T14:58:59.108027+00:00;humidity;36.90
107;DHT22;3520;-26.689;27.817;2021-05-13T14:58:59.108027+00:00;temperature;20.00
108;pms5003;3520;-26.689;27.817;2021-05-13T14:59:52.803571+00:00;P2;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T14:59:52.803571+00:00;P1;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T14:59:52.803571+00:00;P0;0.00
107;DHT22;3520;-26.689;27.817;2021-05-13T15:00:05.808147+00:00;humidity;36.30
107;DHT22;3520;-26.689;27.817;2021-05-13T15:00:05.808147+00:00;temperature;20.10
108;pms5003;3520;-26.689;27.817;2021-05-13T15:01:00.527998+00:00;P2;1.50
108;pms5003;3520;-26.689;27.817;2021-05-13T15:01:00.527998+00:00;P1;1.50
108;pms5003;3520;-26.689;27.817;2021-05-13T15:01:00.527998+00:00;P0;1.50
107;DHT22;3520;-26.689;27.817;2021-05-13T15:01:13.400698+00:00;humidity;35.70
107;DHT22;3520;-26.689;27.817;2021-05-13T15:01:13.400698+00:00;temperature;20.20
108;pms5003;3520;-26.689;27.817;2021-05-13T15:02:06.352952+00:00;P2;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:02:06.352952+00:00;P1;2.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:02:06.352952+00:00;P0;0.00
107;DHT22;3520;-26.689;27.817;2021-05-13T15:02:18.959397+00:00;humidity;35.50
107;DHT22;3520;-26.689;27.817;2021-05-13T15:02:18.959397+00:00;temperature;20.30
108;pms5003;3520;-26.689;27.817;2021-05-13T15:03:08.713570+00:00;P2;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:03:08.713570+00:00;P1;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:03:08.713570+00:00;P0;0.00
107;DHT22;3520;-26.689;27.817;2021-05-13T15:03:21.584287+00:00;humidity;35.40
107;DHT22;3520;-26.689;27.817;2021-05-13T15:03:21.584287+00:00;temperature;20.40
108;pms5003;3520;-26.689;27.817;2021-05-13T15:04:13.564071+00:00;P2;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:04:13.564071+00:00;P1;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:04:13.564071+00:00;P0;0.00
107;DHT22;3520;-26.689;27.817;2021-05-13T15:04:26.004248+00:00;humidity;35.40
107;DHT22;3520;-26.689;27.817;2021-05-13T15:04:26.004248+00:00;temperature;20.50
108;pms5003;3520;-26.689;27.817;2021-05-13T15:05:15.940064+00:00;P2;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:05:15.940064+00:00;P1;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:05:15.940064+00:00;P0;0.00
107;DHT22;3520;-26.689;27.817;2021-05-13T15:05:28.476043+00:00;humidity;35.20
107;DHT22;3520;-26.689;27.817;2021-05-13T15:05:28.476043+00:00;temperature;20.60
108;pms5003;3520;-26.689;27.817;2021-05-13T15:06:20.005278+00:00;P2;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:06:20.005278+00:00;P1;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:06:20.005278+00:00;P0;0.00
107;DHT22;3520;-26.689;27.817;2021-05-13T15:06:32.488113+00:00;humidity;35.60
107;DHT22;3520;-26.689;27.817;2021-05-13T15:06:32.488113+00:00;temperature;20.70
108;pms5003;3520;-26.689;27.817;2021-05-13T15:07:22.344062+00:00;P2;0.33
108;pms5003;3520;-26.689;27.817;2021-05-13T15:07:22.344062+00:00;P1;0.33
108;pms5003;3520;-26.689;27.817;2021-05-13T15:07:22.344062+00:00;P0;0.00
107;DHT22;3520;-26.689;27.817;2021-05-13T15:07:34.956055+00:00;humidity;34.80
107;DHT22;3520;-26.689;27.817;2021-05-13T15:07:34.956055+00:00;temperature;20.70
108;pms5003;3520;-26.689;27.817;2021-05-13T15:08:24.560068+00:00;P2;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:08:24.560068+00:00;P1;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:08:24.560068+00:00;P0;0.00
107;DHT22;3520;-26.689;27.817;2021-05-13T15:08:37.088106+00:00;humidity;34.80
107;DHT22;3520;-26.689;27.817;2021-05-13T15:08:37.088106+00:00;temperature;20.70
108;pms5003;3520;-26.689;27.817;2021-05-13T15:09:27.780018+00:00;P2;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:09:27.780018+00:00;P1;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:09:27.780018+00:00;P0;0.00
107;DHT22;3520;-26.689;27.817;2021-05-13T15:09:40.384098+00:00;humidity;34.90
107;DHT22;3520;-26.689;27.817;2021-05-13T15:09:40.384098+00:00;temperature;20.70
108;pms5003;3520;-26.689;27.817;2021-05-13T15:10:30.260069+00:00;P2;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:10:30.260069+00:00;P1;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:10:30.260069+00:00;P0;0.00
107;DHT22;3520;-26.689;27.817;2021-05-13T15:10:43.052117+00:00;humidity;34.90
107;DHT22;3520;-26.689;27.817;2021-05-13T15:10:43.052117+00:00;temperature;20.60
108;pms5003;3520;-26.689;27.817;2021-05-13T15:11:32.716025+00:00;P2;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:11:32.716025+00:00;P1;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:11:32.716025+00:00;P0;0.00
107;DHT22;3520;-26.689;27.817;2021-05-13T15:11:45.624055+00:00;humidity;35.10
107;DHT22;3520;-26.689;27.817;2021-05-13T15:11:45.624055+00:00;temperature;20.40
108;pms5003;3520;-26.689;27.817;2021-05-13T15:12:35.723733+00:00;P2;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:12:35.723733+00:00;P1;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:12:35.723733+00:00;P0;0.00
107;DHT22;3520;-26.689;27.817;2021-05-13T15:12:48.210556+00:00;humidity;35.30
107;DHT22;3520;-26.689;27.817;2021-05-13T15:12:48.210556+00:00;temperature;20.30
108;pms5003;3520;-26.689;27.817;2021-05-13T15:13:37.807214+00:00;P2;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:13:37.807214+00:00;P1;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:13:37.807214+00:00;P0;0.00
107;DHT22;3520;-26.689;27.817;2021-05-13T15:13:50.529869+00:00;humidity;35.30
107;DHT22;3520;-26.689;27.817;2021-05-13T15:13:50.529869+00:00;temperature;20.20
108;pms5003;3520;-26.689;27.817;2021-05-13T15:14:40.283872+00:00;P2;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:14:40.283872+00:00;P1;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:14:40.283872+00:00;P0;0.00
107;DHT22;3520;-26.689;27.817;2021-05-13T15:14:52.775629+00:00;humidity;35.50
107;DHT22;3520;-26.689;27.817;2021-05-13T15:14:52.775629+00:00;temperature;20.10
108;pms5003;3520;-26.689;27.817;2021-05-13T15:15:42.704080+00:00;P2;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:15:42.704080+00:00;P1;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:15:42.704080+00:00;P0;0.00
107;DHT22;3520;-26.689;27.817;2021-05-13T15:15:55.201072+00:00;humidity;35.60
107;DHT22;3520;-26.689;27.817;2021-05-13T15:15:55.201072+00:00;temperature;20.20
108;pms5003;3520;-26.689;27.817;2021-05-13T15:16:49.055214+00:00;P2;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:16:49.055214+00:00;P1;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:16:49.055214+00:00;P0;0.00
107;DHT22;3520;-26.689;27.817;2021-05-13T15:17:01.474213+00:00;humidity;35.70
107;DHT22;3520;-26.689;27.817;2021-05-13T15:17:01.474213+00:00;temperature;20.20
108;pms5003;3520;-26.689;27.817;2021-05-13T15:17:50.962548+00:00;P2;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:17:50.962548+00:00;P1;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:17:50.962548+00:00;P0;0.00
107;DHT22;3520;-26.689;27.817;2021-05-13T15:18:03.395691+00:00;humidity;35.50
107;DHT22;3520;-26.689;27.817;2021-05-13T15:18:03.395691+00:00;temperature;20.20
108;pms5003;3520;-26.689;27.817;2021-05-13T15:18:52.907565+00:00;P2;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:18:52.907565+00:00;P1;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:18:52.907565+00:00;P0;0.00
107;DHT22;3520;-26.689;27.817;2021-05-13T15:19:05.348436+00:00;humidity;35.60
107;DHT22;3520;-26.689;27.817;2021-05-13T15:19:05.348436+00:00;temperature;20.30
108;pms5003;3520;-26.689;27.817;2021-05-13T15:19:55.133130+00:00;P2;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:19:55.133130+00:00;P1;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:19:55.133130+00:00;P0;0.00
107;DHT22;3520;-26.689;27.817;2021-05-13T15:20:07.837900+00:00;humidity;35.50
107;DHT22;3520;-26.689;27.817;2021-05-13T15:20:07.837900+00:00;temperature;20.30
108;pms5003;3520;-26.689;27.817;2021-05-13T15:20:57.944409+00:00;P2;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:20:57.944409+00:00;P1;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:20:57.944409+00:00;P0;0.00
107;DHT22;3520;-26.689;27.817;2021-05-13T15:21:10.366918+00:00;humidity;35.40
107;DHT22;3520;-26.689;27.817;2021-05-13T15:21:10.366918+00:00;temperature;20.30
108;pms5003;3520;-26.689;27.817;2021-05-13T15:22:00.217552+00:00;P2;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:22:00.217552+00:00;P1;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:22:00.217552+00:00;P0;0.00
107;DHT22;3520;-26.689;27.817;2021-05-13T15:22:12.810624+00:00;humidity;35.30
107;DHT22;3520;-26.689;27.817;2021-05-13T15:22:12.810624+00:00;temperature;20.30
108;pms5003;3520;-26.689;27.817;2021-05-13T15:23:02.381615+00:00;P2;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:23:02.381615+00:00;P1;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:23:02.381615+00:00;P0;0.00
107;DHT22;3520;-26.689;27.817;2021-05-13T15:23:14.857876+00:00;humidity;35.20
107;DHT22;3520;-26.689;27.817;2021-05-13T15:23:14.857876+00:00;temperature;20.30
108;pms5003;3520;-26.689;27.817;2021-05-13T15:24:04.994984+00:00;P2;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:24:04.994984+00:00;P1;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:24:04.994984+00:00;P0;0.00
107;DHT22;3520;-26.689;27.817;2021-05-13T15:24:17.540502+00:00;humidity;35.10
107;DHT22;3520;-26.689;27.817;2021-05-13T15:24:17.540502+00:00;temperature;20.30
108;pms5003;3520;-26.689;27.817;2021-05-13T15:25:07.134407+00:00;P2;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:25:07.134407+00:00;P1;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:25:07.134407+00:00;P0;0.00
107;DHT22;3520;-26.689;27.817;2021-05-13T15:25:19.646326+00:00;humidity;35.20
107;DHT22;3520;-26.689;27.817;2021-05-13T15:25:19.646326+00:00;temperature;20.30
108;pms5003;3520;-26.689;27.817;2021-05-13T15:26:10.040552+00:00;P2;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:26:10.040552+00:00;P1;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:26:10.040552+00:00;P0;0.00
107;DHT22;3520;-26.689;27.817;2021-05-13T15:26:22.622705+00:00;humidity;36.00
107;DHT22;3520;-26.689;27.817;2021-05-13T15:26:22.622705+00:00;temperature;20.30
108;pms5003;3520;-26.689;27.817;2021-05-13T15:27:13.168618+00:00;P2;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:27:13.168618+00:00;P1;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:27:13.168618+00:00;P0;0.00
107;DHT22;3520;-26.689;27.817;2021-05-13T15:27:25.973709+00:00;humidity;35.20
107;DHT22;3520;-26.689;27.817;2021-05-13T15:27:25.973709+00:00;temperature;20.30
108;pms5003;3520;-26.689;27.817;2021-05-13T15:28:15.763374+00:00;P2;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:28:15.763374+00:00;P1;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:28:15.763374+00:00;P0;0.00
107;DHT22;3520;-26.689;27.817;2021-05-13T15:28:28.251130+00:00;humidity;35.20
107;DHT22;3520;-26.689;27.817;2021-05-13T15:28:28.251130+00:00;temperature;20.20
108;pms5003;3520;-26.689;27.817;2021-05-13T15:29:17.860548+00:00;P2;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:29:17.860548+00:00;P1;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:29:17.860548+00:00;P0;0.00
107;DHT22;3520;-26.689;27.817;2021-05-13T15:29:30.352501+00:00;humidity;35.40
107;DHT22;3520;-26.689;27.817;2021-05-13T15:29:30.352501+00:00;temperature;20.10
108;pms5003;3520;-26.689;27.817;2021-05-13T15:30:20.086798+00:00;P2;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:30:20.086798+00:00;P1;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:30:20.086798+00:00;P0;0.00
107;DHT22;3520;-26.689;27.817;2021-05-13T15:30:32.523634+00:00;humidity;35.40
107;DHT22;3520;-26.689;27.817;2021-05-13T15:30:32.523634+00:00;temperature;20.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:31:23.624656+00:00;P2;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:31:23.624656+00:00;P1;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:31:23.624656+00:00;P0;0.00
107;DHT22;3520;-26.689;27.817;2021-05-13T15:31:36.016022+00:00;humidity;35.40
107;DHT22;3520;-26.689;27.817;2021-05-13T15:31:36.016022+00:00;temperature;20.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:32:25.734362+00:00;P2;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:32:25.734362+00:00;P1;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:32:25.734362+00:00;P0;0.00
107;DHT22;3520;-26.689;27.817;2021-05-13T15:32:38.231291+00:00;humidity;35.50
107;DHT22;3520;-26.689;27.817;2021-05-13T15:32:38.231291+00:00;temperature;19.80
108;pms5003;3520;-26.689;27.817;2021-05-13T15:33:27.900496+00:00;P2;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:33:27.900496+00:00;P1;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:33:27.900496+00:00;P0;0.00
107;DHT22;3520;-26.689;27.817;2021-05-13T15:33:40.390069+00:00;humidity;35.70
107;DHT22;3520;-26.689;27.817;2021-05-13T15:33:40.390069+00:00;temperature;19.80
108;pms5003;3520;-26.689;27.817;2021-05-13T15:34:30.362971+00:00;P2;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:34:30.362971+00:00;P1;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:34:30.362971+00:00;P0;0.00
107;DHT22;3520;-26.689;27.817;2021-05-13T15:34:42.796632+00:00;humidity;35.70
107;DHT22;3520;-26.689;27.817;2021-05-13T15:34:42.796632+00:00;temperature;19.80
108;pms5003;3520;-26.689;27.817;2021-05-13T15:35:32.321316+00:00;P2;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:35:32.321316+00:00;P1;2.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:35:32.321316+00:00;P0;0.00
107;DHT22;3520;-26.689;27.817;2021-05-13T15:35:44.815264+00:00;humidity;35.70
107;DHT22;3520;-26.689;27.817;2021-05-13T15:35:44.815264+00:00;temperature;19.90
108;pms5003;3520;-26.689;27.817;2021-05-13T15:36:34.788304+00:00;P2;0.00
